#{"t_start": 1607735214.9873712, "env_id": null}
r,l,t
-2550.302448,120,153.974753
-1466.080163,130,154.092086
-2765.314569,117,154.199655
-2026.345504,152,154.332293
-2494.996634,151,154.464215
-2024.437671,132,154.582332
-1606.550177,127,154.697925
-3475.44196,125,155.748783
-2538.964092,152,155.892229
-1739.422199,148,156.025733
-1989.411757,159,156.166701
-2720.35507,119,156.277311
-2386.298193,143,156.405448
-2118.313073,140,156.533187
-2766.319807,131,156.653404
-3687.007951,126,156.769407
-1620.072434,130,156.888162
-1965.892979,142,157.015142
-2792.403963,138,157.139769
-2191.456409,120,157.25211
-2112.563531,133,157.373054
-1757.613843,124,157.487442
-1644.987736,150,158.536033
-1954.823414,117,158.652339
-2660.619642,117,158.765357
-3002.891709,110,158.870894
-1531.296917,145,159.001813
-3131.237503,136,159.129736
-2633.04981,144,159.261389
-2256.100599,124,159.376112
-3154.179303,146,159.506657
-2905.666047,151,159.643564
-2289.396348,150,159.781936
-2675.543659,141,159.908857
-2304.306054,138,160.034131
-2295.624818,123,160.153311
-2186.751231,131,160.276506
-2098.204625,137,161.334418
-2231.645506,129,161.460039
-2084.54442,131,161.582579
-2356.838729,136,161.704888
-1863.474162,142,161.831747
-3654.569561,142,161.958762
-1650.25961,138,162.08348
-1832.610765,120,162.194512
-2491.138268,122,162.30648
-2205.774604,146,162.437443
-1911.967775,126,162.55334
-2055.218611,131,162.673855
-2228.040749,152,162.808014
-2560.920828,161,162.949296
-2840.101778,146,163.078707
-2062.713045,127,164.108533
-1620.70432,138,164.244418
-2268.147241,120,164.359401
-2093.489406,160,164.500745
-2031.253046,134,164.623108
-1208.265983,124,164.738373
-2339.944553,139,164.864364
-1679.413872,132,164.985123
-1977.262653,134,165.108099
-1545.018625,133,165.248294
-2288.867652,124,165.366961
-1894.656419,133,165.495333
-2487.480579,150,165.628955
-2110.579177,130,165.755319
-2863.760442,152,165.890993
-2718.586333,139,166.936486
-1890.587323,143,167.073063
-2650.531363,140,167.201589
